"","title_kr","title_en","content","time","director","country","year"
"13","거인","The Giant","중증의 자폐와 장애를 앓고 있는 서른 살의 리카드는 심한 기형 때문에 주변 사람들에게 놀림을 받으며 살아간다. 태어나자마자 헤어진 엄마에 대한 상실감으로부터 벗어나지 못한 채, 가끔씩 거인이 되어 사랑하는 엄마와 함께 평화롭게 살아가는 상상을 하며 어두운 현실에서 벗어나 위안을 찾는다. 스칸디나비아 페탕크 챔피언이 되면 엄마가 자신을 데리러 올 것이라고 믿는 그는 마침내 꿈을 실현하기 위해 ...","90min","
				요하네스 뉘홀름","Sweden/Denmark","2016"
"14","검은 바람","The Dark Wind","지고지순한 사랑과 전통적 가치관, 종교관 사이의 갈등과 충돌을 그린 작품. 이라크의 쿠르디스탄 지역에서 저명한 배우이자 작가로 활동 중인 후세인 하싼 감독의 세 번째 장편 극영화로 부산국제영화제에서 인터내셔널 프리미어로 공개되는 작품이다. 이라크의 싱갈 지역에 사는 야즈디족 청년 레코는 페로와 약혼한 사이이다. 어느 날, 페로는 IS에 의해 납치되고 노예시장에 팔려간다. 레코는 천신만고 끝에...","92min","
				후세인 하싼","Iraq/Germany/Qatar","2016"
"15","검은 사제들","The Priests","2015년 서울, 뺑소니 교통사고 이후 의문의 증상에 시달리는 한 소녀가 있다. 잦은 돌출 행동으로 교단의 눈 밖에 난 김신부는 모두의 반대와 의심 속, 소녀를 구하기 위한 자신만의 계획을 준비한다. 이를 위해선 모든 자격에 부합하는 또 한 명의 사제가 필요한 상황. 모두가 기피하는 가운데 신학생인 최부제가 보조사제로 선택되고, 김신부를 돕는 동시에 감시하라는 임무를 받는다. 그리고 마침내 ...","108min","
				장재현","Korea","2016"
"16","견습생","Apprentice","아버지의 목숨을 앗아간 사형 집행관과 한 직장에서 우정을 나눌 수 있을까? 교도관 ’아이만’은 가장 경비가 삼엄한 교도소로 발령받는다. 그곳은 30년 전 아버지의 사형을 집행한 ’라힘’이 근무하는 곳이다. 아이만은 자신의 과거를 숨긴 채 라힘과 점점 가까워지고 그의 오른팔이 된다. 라힘은 사형에 대한 기술과 지식을 전수해준다. 하지만 이를 알게 된 아이만의 친누나는 동생의 행동을 이해할 수 ...","96min","
				부준펑","Singapore/France/Germany/Hong Kong, China/Qatar","2016"
"17","경이로운 소용돌이","The Marvelous Spiral","어느 버려진 극장에서 프랑스 여배우 마리나 블라디가 보르헤스의 을 읊는 동안 지구의 반대편에서는 일본 과학자 신 쿠보타가 ‘불멸의 해파리’를 찬양한다. 밀라노 두오모 성당의 일꾼들은 끊임없이 조각상들을 손질하고 스위스의 뮤지션 커플은 그들의 타악기인 ‘행’을 지속적으로 연마하며 미국의 인디언들은 그들 부족의 오래된 정신적 저항을 이어간다. 겉으로는 서로 관련이 없어 보이지...","122min","
				마시모 다놀피,마르티나 파렌티","Italy/Switzerland","2016"
"18","경찰관","Police Story","파출소의 신입 경찰 최문오는 좋은 조건의 직장을 마다하고 경찰 일을 택한 젊은이다. 박봉에 위험하고 일만 많은 직업이기에, 애인은 최문오에게 경찰을 계속하려면 자신과 헤어지자고 이별을 통보한다. 하지만 최문오는 경찰 일을 포기하지 않는다. 정년을 앞둔 파출소장은 최문오의 롤모델이다. 경찰 일에 성실하면서도 인간미가 넘치기 때문이다. 물론 파출소장에게도 어려움이 있다. 딸이 검사와 결혼하겠다고...","100min","
				이두용","Korea","2016"
"19","고래마을 타이치 이야기","A Whale of a Tale","2010년 전 세계적 화제를 모은 다큐멘터리  이후 일본 어촌마을 타이치의 현재를 보여주는 탐사 다큐멘터리다. 돌고래 사육사가 고래는 감정과 고통을 느끼는 신비로운 포유동물이라는 점에 감화를 받고 동물권 보호 활동가로 거듭났으며, 활동가들과 다큐 제작진은 아카데미 수상작 로 고래를 잔인하게 포획하는 타이치를 널리 알렸다. 이 영화는 전작의 후속편이지만 서양 활동가의 단일...","93min","
				사사키 메구미","Japan/United States","2016"
"20","고백","Confessions","아이돌 스타 제이를 친척으로 둔 하원은 같은 반 아이들에게 제이의 사인을 받아주는 조건으로 자신을 반장으로 밀어줄 것을 부탁한다. 하지만 반장 선거는 의외의 결과를 낳는다.","21min","
				김우현","Korea","2016"
"21","고산자, 대동여지도","The Map Against the World","19세기 조선에서 태어난 고산자 김정호는 ‘대동여지도’라는 정확한 조선의 지도를 만든 인물이다. 잘못된 지도를 보고 길을 나섰다가 산속에서 얼어 죽은 아버지를 보고 제대로 된 지도를 만들겠다고 결심한 김정호는 마을 사람들에게 ‘지도에 미친 사람’이라 여겨진다. 딸을 혼자 남겨두고 3년 반 동안 전국을 돌아다니며 지도 제작에만 매달린 인물이기 때문. 김정호는 백성들이 고루 지도를 이용할 수 있...","129min","
				강우석","Korea","2016"
"22","고속도로","Expressway","은퇴를 앞둔 킬러의 사연을 담은 범죄 스릴러. 청부살인업자 ’벤’은 한때는 부인과 아들을 둔 가정을 꾸렸으나, 오랜 어둠의 생활로 고독하게 늙었다. 그는 아들의 죽음을 받아들이고 어둠의 생활에서 손을 떼기로 결심하고 새로운 파트너 ’모리스’와 함께 마지막 임무를 수행한다. 열두 살 때부터 살인을 시작한 모리스는 젊고 혈기왕성한 데다 다혈질이라 벤의 말을 잘 듣지 않고 사람 목숨을 우습게 여긴...","93min","
				아토 바우티스타","Philippines","2016"
"23","곡성","The Wailing","낯선 외지인이 나타난 후 벌어지는 의문의 연쇄 사건들로 마을이 발칵 뒤집힌다. 경찰은 집단 야생 버섯 중독으로 잠정적 결론을 내리지만 모든 사건의 원인이 그 외지인 때문이라는 소문과 의심이 걷잡을 수 없이 퍼져 나간다. 경찰 종구는 현장을 목격했다는 여인을 만나면서 외지인에 대한 소문을 확신하기 시작한다. 딸 효진이 피해자들과 비슷한 증상으로 아파오기 시작하자 다급해진 종구. 외지인을 찾아 ...","156min","
				나홍진","Korea/United States","2016"
"24","곰가죽","The Bear Skin","산에서 벌어지는 이 독특한 서부극에서 피에트로와 도메니코 부자는 마을을 위협하는 곰을 사냥하기 위한 모험에 나선다. 사냥은 서로를 이해하는 계기가 되어, 거의 남과 같던 부자간의 거리는 숲 속으로 깊이 들어갈수록 점차 좁혀진다.  
은 프레임과 빛, 장르에 대한 이해가 뛰어난 이탈리아 신인감독의 장편 데뷔작이다. 시간 경과에 따라 변화하는 풍경의 채도와 명암, 마치 정물화를 그리듯...","92min","
				마르코 세가토","Italy","2016"
"25","공동정범","The Remnants","은 용산참사 사건의 피해자이나 가해자로 기소된 철거민 투쟁자 다섯 명의 자기 고백을 담은 영화이다. 사건 현장에 있었다는 이유로 공동정범으로 기소된 다섯 인물은 출소 이후 각자 자신의 현재 상황과 과거 기억을 풀어낸다. 연분홍 치마는 전작 의 연장선상에서 그러나 또 다른 접근을 시도한다. 이 적극적인 재연을 통해 경찰을 경유한 국가폭력을 논했다면,","133min","
				이혁상,김일란","Korea","2016"
"26","공포의 기원에 대하여","On the Origin of Fear","녹음실에서 더빙작업이 한창이다. 고문 기술자와 고문 피해자의 목소리를 연기하는 한 남성. 점점 연기에 몰입하면서 실제와 재연의 경계가 사라지고, 고통스러운 역사의 기억이 소환된다.","12min","
				바유 프리한토로 필레몬","Indonesia","2016"
"27","국가의 탄생","The Birth of a Nation","1831년, 미국 버지니아주 사우스헴턴을 배경으로 하는 은 네트 터너라는 흑인 노예에 관한 실화이다. 자금 압박을 받고 있는 네트 터너의 주인 사뮤엘 터너가 통제되지 않는 노예들을 순화시키기 위해 글을 읽고 쓸 줄 아는 노예이자 전도사인 네트 터너의 설교를 이용하면서 돈을 벌기 시작한다. 그 전까지 흑인 노예들이 겪는 참상에 대해 잘 알지 못했던 그는 설교를 시작하면서 동료 노...","119min","
				네이트 파커","United States","2016"
"28","국경수비대","Transpecos","외딴 사막, 고속도로 위에 임시로 설치된 국경 순찰대의 초소를 세 명의 요원이 지키고 있다. 추적하는 능력이 묘할 정도로 뛰어난 플로레스, 국경 주변에 사는 예쁜 멕시코 아가씨들을 만날 수 있다는 낭만적인 생각으로 국경 순찰대에 들어온 데이비스, 그리고 대학 학위도 총알은 막을 수 없다고 생각하는 나이 많은 현실주의자 홉스이다. 여느 때와 다를 바 없는 지루한 날을 보내고 있던 이들에게 평범...","86min","
				그렉 쿠에다르","United States","2016"
"29","군지에서의 죽음","A Death in the Gunj","1979년 겨울, 인도의 휴양지 군지에 있는 별장으로 새해를 함께 맞이하기 위해 가족들이 모여든다. 고즈넉한 마을에 자리 잡은 저택에 모여든 내성적인 사촌 동생 샤말과 자유분방한 큰 형 보니, 난두와 그의 아내, 그리고 보니와 미묘한 관계를 형성하는 미미는 시답잖은 놀이들로 무료한 시간을 보내지만, 개인적 고민들로 힘들어하는 샤말은 형들과 어울리기보다는 어린 조카와 주로 시간을 보낸다. 겉으...","105min","
				콘코나 센샤르마","India","2016"
"30","그 애는 여기 있어요","The Boy is with Us","아들 영민이 갑자기 실종된다. 일 년 후, 영민이 발견되고 부부는 안심한다. 그러나 엄마는 영민에게서 조금씩 이상한 점을 발견하고, 점점 자신의 아들이 아니라고 생각하게 된다.","23min","
				윤채원","Korea","2016"
"31","그녀의 어머니","Her Mother","피해자가 가해자를 용서하는 것은 있을 수 있겠으나, 서로를 이해한다는 것은 가능한 것인가? 요시노리 사토 감독의 는 딸을 살해한 사위를 이해하게 되는 어머니의 복잡미묘한 심리를 다룬 작품이다.
평범한 주부였던 하루미는 자신의 집에서 딸 미치요가 사위 코지에게 살해당하는 비극을 겪게 된다. 6년이 흐른 뒤 법원 판결을 앞두고 그녀는 예전부터 의문을 품었던, 즉 딸이 무엇인가 ...","95min","
				사토 요시노리","Japan","2016"
"32","그놈이다","Fatal Intuition","오빠 장우와 여동생 은지는 부모 없이 둘만 사는 가족이다. 어느 날, 은지가 홀연히 사라지고 3일 만에 시체가 되어 돌아온다. 장우는 목격자도, 단서도, 증거도 없는 은지 살인사건의 범인을 찾기 위해 동분서주한다. 동생의 영혼을 위로하는 굿을 하던 중 범인처럼 보이는 한 남자를 발견한다. 굿판에 사용된 놋그릇이 굴러가 그 남자를 가리켰기 때문이다. 남자는 장우를 피해 달아나고 장우는 그놈의 ...","109min","
				윤준형","Korea","2016"
"33","그리고 삶은 계속 된다","And Life Goes on","압바스 키아로스타미 감독의 영화철학과 인간으로서의 따뜻한 성품이 짙게 배어있는 작품. 영화는 를 발표한 3년 뒤인 1990년, 이란의 북부 지방에서 일어난 대지진으로부터 시작된다. 압바스 키아로스타미 감독은 에 출연했던 소년들의 안위가 걱정이 되어 그들을 찾아 나서고, 그 과정을 다룬 작품이 이다.","94min","
				압바스 키아로스타미","Iran","2016"
"34","그물","THE NET","북한 어부가 고기를 잡으러 나갔다 엔진이 고장 나서 남한으로 표류하게 된다. 국정원은 어부가 간첩일지 모른다고 의심하여 취조를 한다. 대조적인 입장을 가진 국정원 직원 두 사람이 어부의 수사를 맡는다. 한 직원은 어부가 간첩임에 틀림없다는 확신을 갖고 고문에 가까운 취조방법을 동원하고 다른 한 직원은 어부가 처한 상황을 동정하며 인간적 대우를 해주려 노력한다. 국정원은 어부에게 펜과 종이를 ...","114min","
				김기덕","Korea","2016"
"35","근원적 행복","Original Bliss","실패한 결혼과 신의 부재에 괴로워하던 헬레네는 유명한 심리학자이자 뇌과학자인 에두아드를 찾아가 마음속 공허함의 뿌리를 캐보고자 한다. 알 수 없는 힘에 의해 가까워진 둘은 서로의 고민과 비밀을 공유하기에 이른다. 포르노에 강박증을 가진 에두아드를 돕기 위해 헬레네는 둘만의 실험에 기꺼이 참가한다.
뒤돌아보는 여성의 얼굴을 보여주는 첫 장면이 시사하듯 이 영화는 여주인공이 스스로 인생의 역경...","102min","
				스벤 타딕켄","Germany","2016"
"36","글로리","Glory","말투도 행동도 느린 철도원 쌍코는 어느 날 철로 위에서 거금의 돈뭉치를 발견하고 경찰에 신고한다. 쌍코의 행동이 전국에 알려지면서 그는 순식간에 영웅이 되고, 교통부는 그에게 새 시계를 상으로 주는 행사를 갖는다. 하지만 행사는 쌍코에게 재앙의 연속일 뿐이다. 교통부 홍보실장인 줄리아가 새 시계를 부상으로 준답시고 가져가 버린 아버지의 유품 시계 ‘글로리’를 분실하자, 쌍코는 글로리를 되찾기...","101min","
				크리스티나 그로제바,페타르 밸채노프","Bulgaria/Greece","2016"
"37","깨끗한 물속의 칼","Knife in the Clear Water","인간과 소 사이의 교감을 그린 왕수에보의 장편 극영화 데뷔작. 회족들이 모여 사는 중국 닝샤의 산골 마을. 노인 마지샨의 아내가 별세하자, 가족들은 회족의 전통에 따라 장례식 이후 40일 뒤 ‘내지르’ 라고 하는 고인의 정화의식을 치르기로 한다. 이를 위해서는 소를 도축하는 방법 말고는 없는데, 마지샨은 선뜻 그렇게 할 수가 없다. 마지샨에게 소는 가족과 다름없기 때문이다. 하지만, 아들은 ...","93min","
				왕수에보","China","2016"
"38","꼬마돼지 펄시의 생일 케이크","Friends Forever - A Pig’s Tale","쥐와 닭, 그리고 돼지가 만족한 삶을 살고 있다. 어느 날 예상치 못한 게스트가 방문하여 이들의 평화를 깨려 하자, 이들은 직접 문제를 해결하기로 한다. 말리우프의 사랑스럽고도 조용한 농장에서의 삶이 멧돼지 패거리가 나타나면서 위협받기 시작한 것이다. 이 멧돼지들은 처음에는 매력적인 듯 보였으나 곧 마음대로 농장을 지배하려는 야욕을 드러낸다. 하여 뜻밖에 뭉친 세 동물들은 평화를 회복하기 위...","80min","
				테레사 스트로젝,토니 뢰저","Germany","2016"
"39","꿈의 제인","Jane","가출 소녀 소현은 진짜 가족처럼 자신을 돌봐주던 오빠 정호가 사라지자 홀로 남는다. 우연히 트랜스젠더 제인을 알게 되고 제인이 보살피는 아이들의 가출팸(가족 같은 가출한 아이들의 공동체)에 들어간다. 제인의 가출팸은 진짜 가족 못지않게 다정하고 소현은 안정된 삶을 찾는다. 그러나 소현의 행복은 오래가지 않는다. 제인의 몸에 이상이 생겼기 때문이다.
은 소현이 겪는 두 가지 이야...","100min","
				조현훈","Korea","2016"
"40","끝없는 시","Endless Poetry","스무 살 성인이 된 청년 알레한드리토는 부모님의 뜻을 거스르고 시인이 되고자 산티아고로 온다. 삶의 에너지와 창작에의 욕구로 가득한 알레한드리토는 얼마 지나지 않아 전위적이고 지적인 젊은 창작가들의 모임에 합류한다. 그리고 미래 칠레 문학계를 이끌어 갈 젊은 작가들인 엔리케 린, 스텔라 디아즈 바린, 그리고 니카노르 파라 등과 교류하면서 리비도로 충만한 새로운 세계에 눈뜨기 시작한다.","128min","
				알레한드로 호도로프스키","Chile/France","2016"
"41","나, 다니엘 블레이크","I, Daniel Blake","59세의 다니엘 블레이크는 삶의 대부분을 영국 뉴캐슬에서 목수로 보낸다. 평생을 혼자서 잘 살아왔던 그는 갑자기 찾아온 심장 질환으로 당장 생계를 걱정해야 하는 처지에 놓인다. 국가의 도움이라고는 받아 본 적이 없는 다니엘은 정부에서 지원하는 질병 수당을 신청하게 된다. 원조를 받기 위해 모든 버거운 절차를 거치는 동안 그는 두 아이를 키우는 싱글맘 케이티를 만나게 된다. 다니엘은 런던의 코...","100min","
				켄 로치","United Kingdom","2016"
"42","나무 위의 소년들","Boys in the Trees","때는 1997년 호주, 코리와 장고, 그리고 그들의 스케이트보드 패거리들이 고등학생으로서의 마지막 할로윈을 함께하고 있다. 어린 시절은 끝나고 이제 어른의 삶이 기다리고 있는 이들에게 같은 고등학교 친구인 조나가 나타난다. 조나는 코리의 어릴 적 친구이지만 지금은 장고가 잔인하게 괴롭히는 대상일 뿐이다. 조나를 불쌍하게 여긴 코리는 옛정을 생각하여 장고 몰래 그를 집까지 데려다주기로 한다. ...","112min","
				니콜라스 베르소","Australia","2016"
"43","나비의 눈물","The Apology","제2차 세계대전 시기, 약 20만이 넘는 소녀와 젊은 여성이 납치 또는 강제로 끌려가 일본군 위안부로 동원되었다. 은 당시 위안부로 끌려갔던 3명의 아시아 여성에 대한 이야기다. 당시 ‘위안소’로 불리던 곳에 감금되었던 여성들 중에서 살아남은 한국의 길 할머니, 중국의 카오 할머니, 필리핀의 아델라 할머니는 이제 인생의 마지막 고개를 넘으며 쇠약해지는 건강으로 하루하루가 힘겹다...","104min","
				티파니 슝","Canada","2016"
"44","나와 함께 있어줘","Here with Me","막 상병이 된 도완은 3개월 만에 하루 외출을 나온다. 아침 7시부터 저녁 7시 귀대시간까지 하고 싶은 일을 모두 계획해 놓고 여자친구 연주를 만난다.","32min","
				안도완","Korea","2016"
"45","나의 사랑, 그리스","Worlds Apart","는 그리스인과 외국인 간의 세 개의 사랑 이야기로 구성된다. 첫 이야기는 그리스 여자 다프네와 시리아 난민 파리스가 주인공이다. 가방을 도둑맞을 뻔한 다프네를 파리스가 도와주면서 두 젊은 남녀는 특별한 사이가 되지만, 극우 집단에 가입한 다프네의 아버지 때문에 예기치 못한 사태가 발생한다. 사랑 없는 결혼생활을 하는 그리스 회사원 요르고와 구조조정을 위해 그의 회사를 찾...","113min","
				크리스토퍼 파파칼리아티스","Greece","2016"
"46","나의 산타 이야기","Get Santa","교장 선생님은 특별한 고아 소년 줄리어스를 크리스마스에 산타로부터 온 선물이라고 생각한다. 줄리어스는 그 누구보다도 크리스마스를 사랑하는데 이는 크리스마스가 일 년 중 매우 특별한 시간이기 때문이다. 하지만 다른 아이들은 관대하지 않고 질투심이 많으며 자신들이 받아야 할 관심을 줄리어스가 훔쳐갔다고 생각한다. 아이들이 산타는 교장 선생님이 분장한 모습에 불과하다는 사실을 폭로했을 때 줄리어스...","82min","
				야곱 라이","Denmark","2016"
"47","나의 연기 워크샵","Hyeon’s Quartet","연극 를 보고 연기 워크샵에 참가하게 된 네 사람 헌, 은, 준, 경. 이들은 배우 미래로부터 한 달간 연기 수업을 받는다. 헌은 극단의 막내로 온갖 허드렛일을 하고 있고, 은은 헌책방에서 책을 정리하며 무료한 시간을 보내고, 준은 단편영화 배우로 대부분의 시간을 거리에서 보내고 있으며, 경은 사진작가이지만 배우가 되고 싶은 꿈이 있다. 미래는 연기 수업을 통해서 왜 이들이 연기를 ...","119min","
				안선경","Korea","2016"
"48","나의 첫 번째 세계여행","Window Horses","다문화 가정에서 자란 소녀의 성장기. 중국과 이란 부모 사이에 태어난 캐나다 젊은 소녀 로지 밍은 아르바이트를 하면서 혼자 시를 쓴다. 어느 날 이란 시 페스티발에 초대를 받은 그녀는 자신을 돌본 중국 조모의 품을 떠나 생애 첫 혼자 여행을 떠난다. 이란에 도착한 로지 밍은 시인으로서, 이란과 중국과 캐나다를 가로지르는 역사에 대해, 그 사이에 자신의 출생과 가족사에 대해 조금씩 알아간다. ...","88min","
				앤 마리 플레밍","Canada","2016"
"49","나이트-플라이","Night-Fly","자넬은 목적 없는 인생 속에 갇혀 있다. 현실 세계를 마주하지 못한 채, 그녀는 아름답지만 헛된 꿈속에서 안식처를 찾는다. 하지만 어느 날 꿈속에서 만난 정신과 의사의 도움으로, 자신의 문제를 해결하고 더 깊은 곳, 자신의 내면을 발견한다.","27min","
				아지즈 잠바키예브","Kazakhstan","2016"
"50","내 인생의 비수기","It's Not the Time of My Life","에스더, 파르카스 그리고 다섯 살 아들 브루노는 평범한 중산층 가족. 어느 밤 갑자기 스코틀랜드로 가 새로운 삶을 꾸리려 했던 에스더의 언니 에르넬라과 남편 알버트, 그들의 딸 로라가 귀국한다. 반가움도 잠시, 다음 날 아침부터 두 가족 사이에는 묘한 긴장이 계속되고 결국 다툼과 소동의 연속이 뒤따른다. 헝가리의 감독이자 배우인 사볼치 하이두의 는 가족이 결코 질투와 시기...","81min","
				사볼치 하이두","Hungary","2016"
"51","내 친구의 집은 어디인가","Where is the Friend’s Home","이란의 저명한 시인이자 화가인 소흐랍 세페리의 한 시구에서 제목을 인용한 는 압바스 키아로스타미 감독의 작가로서의 존재를 전 세계에 알렸을 뿐 아니라, 이란영화의 새로운 황금기를 연 작품으로 평가받는 작품이다. 영화는 이란 북부의 조그만 산골 마을을 배경으로, 친구 네마자데의 숙제 공책을 돌려주기 위해 네마자데 의 집을 찾아 나서는 초등학생 아흐마드의 하루를 그리고...","77min","
				압바스 키아로스타미","Iran","2016"
"52","내부자들","Inside Men","한국 사회를 움직이는 사람들은 누구인가? 은 정치인, 재벌, 언론인, 깡패 등 네 부류의 인간을 등장시킨다. 유력한 대통령 후보와 그를 후원하는 재벌이 있고 그들이 대선에서 승리하도록 판을 짜는 유명한 신문 논설주간이 있다. 정치깡패 안상구는 그들이 시키는 더러운 일을 하고 돈을 챙기는데 어느 날 그들의 비자금 파일로 거래를 하려다 발각되어 폐인이 된다. 후원자가 없어 승진이 잘 ...","130min","
				우민호","Korea","2016"
"53","내시","Eunuch","신상옥 감독의 (1968)를 리메이크한 작품이지만 정작 이두용 감독은 신상옥의 원작을 보지 않고 자신의 스타일로 연출했다고 한다. 교리의 아들 정호와 참판의 딸 자옥은 서로 사랑하는 사이지만 그들이 사귀는 걸 반대한 자옥의 아버지는 딸을 궁중에 들여보낸다. 자옥은 후궁이 되지만 왕은 자옥 아버지의 야심을 알고 자옥을 거들떠 보지 않는다. 자옥을 만나기 위해 내시가 된 정호는 몰래 자옥...","110min","
				이두용","Korea","2016"
"54","냇물과 들판, 사랑스런 얼굴들","Brooks, Meadows and Lovely Faces","젊은 시절 파샤의 요리사였던 저명한 셰프 예히아는 두 아들 갈랄, 레파트와 함께 케이터링을 운영하며 각종 행사 요리를 담당한다. 두 아들은 성격이 확연히 달라서, 갈랄은 유부녀를 꼬시는 등 여자를 좋아하는 데다 사고뭉치고 감옥살이 경험도 있는 반면, 레파트는 마을 최고의 미녀 샤디아만을 마음에 품은 채 제대로 된 요리를 만들려는 성실한 셰프로 살아간다. 한편 패스트푸드로 돈을 벌어보려는 야심...","115min","
				유스리 나스랄라","Egypt","2016"
